id,vine.maturity,env
LelahDH12,3.5,2020
MSFF744-01,9,2020
W2x001-22,3.5,2020
W2x001-84,3,2020
W2x004-25,3,2020
W2x006-38,4,2020
W2x007-10,5,2020
W2x007-11,5,2020
W2x007-14,5,2020
W2x007-2,5,2020
W2x007-6,6,2020
W2x007-9,4,2020
W2x008-16,9,2020
W2x008-19,4,2020
W2x008-24,4,2020
W2x008-32,4,2020
W2x008-44,3,2020
W2x008-46,4,2020
W2x009-35,5,2020
W2x009-36,9,2020
W2x009-40,6,2020
W2x009-41,6,2020
W2x009-9,4,2020
W2x010-21,9,2020
W2x010-24,3,2020
W2x011-12,4,2020
W2x011-15,4,2020
W2x011-23,4,2020
W2x011-4,5,2020
W2x011-40,4,2020
W2x011-5,7,2020
W2x011-9,4,2020
W2x013-18,4,2020
W2x013-34,4,2020
W2x013-47,6,2020
W2x013-51,4,2020
W2x014-17,3,2020
W2x014-25,4,2020
W2x014-33,6,2020
W2x014-45,7,2020
W2x014-5,7,2020
W2x014-7,5,2020
W2x015-41,7,2020
W2x016-1,4,2020
W2x016-14,4,2020
W2x016-29,5,2020
W2x016-41,6,2020
W2x017-24,9,2020
W2x017-34,7,2020
W2x018-7,6,2020
W2x018-9,7,2020
W2x019-9,5,2020
W2x020-41,9,2020
W2x021-10,4,2020
W2x021-23,6,2020
W2x021-45,7,2020
W2x021-58,4,2020
W2x021-66,5,2020
W2x021-74,8,2020
W2x021-9,6,2020
W2x022-2,6,2020
W2x022-20,4,2020
W2x022-3,5,2020
W2x022-36,4,2020
W2x022-47,7,2020
W2x022-58,4,2020
W2x022-8,6,2020
W2x023-2,4,2020
W2x023-3,5,2020
W2x024-12,5,2020
W2x024-13,5,2020
W2x024-14,4,2020
W2x024-16,3,2020
W2x024-17,3,2020
W2x024-18,3,2020
W2x024-22,5,2020
W2x024-24,6,2020
W2x024-26,4,2020
W2x024-28,7,2020
W2x024-29,8,2020
W2x024-32,3,2020
W2x024-36,8,2020
W2x024-37,4,2020
W2x024-47,4,2020
W2x024-5,1,2020
W2x024-59,4,2020
W2x024-62,4,2020
W2x024-65,1,2020
W2x024-67,6,2020
W2x025-1,5,2020
W2x025-9,6,2020
W2x026-10,4,2020
W2x026-40,4,2020
W2x026-51,5,2020
W2x027-18,5,2020
W2x027-21,5,2020
W2x027-25,5,2020
W2x027-29,4,2020
W2x027-32,5,2020
W2x027-35,5,2020
W2x027-36,9,2020
W2x027-4,4,2020
W2x027-44,6,2020
W2x027-50,8,2020
W2x027-54,5,2020
W2x027-57,5,2020
W2x027-71,5,2020
W2x027-72,5,2020
W2x027-76,5,2020
W2x027-8,9,2020
W2x028-17,4,2020
W2x028-19,6,2020
W2x028-35,4,2020
W2x028-38,5,2020
W2x029-10,4,2020
W2x029-12,5,2020
W2x029-15,8,2020
W2x029-22,5,2020
W2x029-37,7,2020
W2x029-48,7,2020
W2x029-51,4,2020
W2x029-54,5,2020
W2x032-10,4,2020
W2x032-3,3,2020
W2x032-4,5,2020
W2x033-16,4,2020
W2x033-17,4,2020
W2x037-1,5,2020
W2x037-13,5,2020
W2x037-19,3,2020
W2x037-22,4.5,2020
W2x037-23,5,2020
W2x037-27,4,2020
W2x037-6,4,2020
W2x037-7,7,2020
W2x037-8,4,2020
W2x038-10,4,2020
W2x040-10,6,2020
W2x040-12,4.5,2020
W2x040-13,4,2020
W2x040-18,6,2020
W2x040-19,8.5,2020
W2x040-24,6,2020
W2x040-25,5.5,2020
W2x040-27,6,2020
W2x040-31,4,2020
W2x040-43,9,2020
W2x040-7,7,2020
W2x040-9,7.5,2020
W2x041-14,5.5,2020
W2x041-17,5,2020
W2x041-18,4,2020
W2x041-2,5,2020
W2x041-22,7,2020
W2x041-27,6,2020
W2x041-40,4.5,2020
W2x041-43,8,2020
W2x041-46,9,2020
W2x041-49,4,2020
W2x041-5,3,2020
W2x041-6,5,2020
W2x041-9,5,2020
W2x042-16,7,2020
W2x042-20,9,2020
